Column1,Column2,Column3,Column4
乐享借,finance,1102_mbv2_p1_eye.opt.tnnmodel,E:\mobilesec\apps\finance\乐享借\1102_mbv2_p1_eye.opt.tnnmodel
番茄影视,video,3.model,E:\mobilesec\apps\video\番茄影视\3.model
安安用车司机端,travel,1105_mbv2_eye_ch3.opt.tnnmodel,E:\mobilesec\apps\travel\安安用车司机端\1105_mbv2_eye_ch3.opt.tnnmodel
格林,travel,1102_mbv2_p1_eye.opt.tnnmodel,E:\mobilesec\apps\travel\格林\1102_mbv2_p1_eye.opt.tnnmodel
杭州医生,health,model2.bin,E:\mobilesec\apps\health\杭州医生\model2.bin
稠州村镇银行,finance,M_Liveness_Antispoofing.model,E:\mobilesec\apps\finance\稠州村镇银行\M_Liveness_Antispoofing.model
随刻创作,photo,sngx_revise.opt.tnnmodel,E:\mobilesec\apps\photo\随刻创作\sngx_revise.opt.tnnmodel
完美人生,finance,faceidmodel.bin,E:\mobilesec\apps\finance\完美人生\faceidmodel.bin
惕温宝,health,small_detect.model,E:\mobilesec\apps\health\惕温宝\small_detect.model
智慧人社,life,rnet_model.bin,E:\mobilesec\apps\life\智慧人社\rnet_model.bin
喜欢听,video,M_Liveness_Cnn_half.model,E:\mobilesec\apps\video\喜欢听\M_Liveness_Cnn_half.model
多阅,communication,M_SenseME_Face_Video_5.3.3.model,E:\mobilesec\apps\communication\多阅\M_SenseME_Face_Video_5.3.3.model
云南税务,finance,M_Face_Quality_Assessment.model,E:\mobilesec\apps\finance\云南税务\M_Face_Quality_Assessment.model
国际妈咪,shopping,quality_model_secret.bin,E:\mobilesec\apps\shopping\国际妈咪\quality_model_secret.bin
备忘录记事本,office,integrity_model_secret.bin,E:\mobilesec\apps\office\备忘录记事本\integrity_model_secret.bin
皖事通,communication,KM_Align_occlusion_106_1.19.6.model,E:\mobilesec\apps\communication\皖事通\KM_Align_occlusion_106_1.19.6.model
东方财富,finance,KM_Align_occlusion_106_1.19.6.model,E:\mobilesec\apps\finance\东方财富\KM_Align_occlusion_106_1.19.6.model
作业帮手,exam,quality_model_secret.bin,E:\mobilesec\apps\exam\作业帮手\quality_model_secret.bin
一起秀直播,video,filter_style_lovely.model,E:\mobilesec\apps\video\一起秀直播\filter_style_lovely.model
唯品会,shopping,acn_535_net2.opt.tnnmodel,E:\mobilesec\apps\shopping\唯品会\acn_535_net2.opt.tnnmodel
优创,finance,track.model,E:\mobilesec\apps\finance\优创\track.model
桥架弯头计算器,life,1022.model,E:\mobilesec\apps\life\桥架弯头计算器\1022.model
陕西信合,finance,model_cardDet20190401.bin,E:\mobilesec\apps\finance\陕西信合\model_cardDet20190401.bin
酷秀短视频,video,tt_face_attribute_extra_v2.0.model,E:\mobilesec\apps\video\酷秀短视频\tt_face_attribute_extra_v2.0.model
变蝶,video,filter_monochrome.model,E:\mobilesec\apps\video\变蝶\filter_monochrome.model
劳得多,office,M_Liveness_Cnn_half.model,E:\mobilesec\apps\office\劳得多\M_Liveness_Cnn_half.model
秀秀直播,video,M_SenseME_Face_Extra_5.23.4.model,E:\mobilesec\apps\video\秀秀直播\M_SenseME_Face_Extra_5.23.4.model
本地出行司机,travel,acn_535_net1.opt.tnnmodel,E:\mobilesec\apps\travel\本地出行司机\acn_535_net1.opt.tnnmodel
融360,finance,M_Liveness_Cnn_half.model,E:\mobilesec\apps\finance\融360\M_Liveness_Cnn_half.model
徒遇,communication,acn_535_net1.opt.tnnmodel,E:\mobilesec\apps\communication\徒遇\acn_535_net1.opt.tnnmodel
淘大集,shopping,quality_model_secret.bin,E:\mobilesec\apps\shopping\淘大集\quality_model_secret.bin
桥架弯头计算器,life,33.model,E:\mobilesec\apps\life\桥架弯头计算器\33.model
奇遇世界,video,9.model,E:\mobilesec\apps\video\奇遇世界\9.model
同花顺股票开户,finance,model_1_opt.bin,E:\mobilesec\apps\finance\同花顺股票开户\model_1_opt.bin
附近约会,communication,acn_535_net1.opt.tnnmodel,E:\mobilesec\apps\communication\附近约会\acn_535_net1.opt.tnnmodel
叭叭速配司机版,travel,quality_model_secret.bin,E:\mobilesec\apps\travel\叭叭速配司机版\quality_model_secret.bin
说得相机AI提词器,photo,lite_model.tflite.bin,E:\mobilesec\apps\photo\说得相机AI提词器\lite_model.tflite.bin
微商宝,office,live_eye_pose.model,E:\mobilesec\apps\office\微商宝\live_eye_pose.model
浙江检察,health,ldmodel.bin,E:\mobilesec\apps\health\浙江检察\ldmodel.bin
企业微信,office,1105_mbv2_eye_ch3.opt.tnnmodel,E:\mobilesec\apps\office\企业微信\1105_mbv2_eye_ch3.opt.tnnmodel
